image_path,mask_path
Processed_Dataset/segmentation/images\ISIC_0011202.jpg,Processed_Dataset/segmentation/masks\ISIC_0011202_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000519.jpg,Processed_Dataset/segmentation/masks\ISIC_0000519_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010847.jpg,Processed_Dataset/segmentation/masks\ISIC_0010847_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010348.jpg,Processed_Dataset/segmentation/masks\ISIC_0010348_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0007788.jpg,Processed_Dataset/segmentation/masks\ISIC_0007788_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010058.jpg,Processed_Dataset/segmentation/masks\ISIC_0010058_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000252.jpg,Processed_Dataset/segmentation/masks\ISIC_0000252_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0007796.jpg,Processed_Dataset/segmentation/masks\ISIC_0007796_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009078.jpg,Processed_Dataset/segmentation/masks\ISIC_0009078_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010025.jpg,Processed_Dataset/segmentation/masks\ISIC_0010025_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009960.jpg,Processed_Dataset/segmentation/masks\ISIC_0009960_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000071.jpg,Processed_Dataset/segmentation/masks\ISIC_0000071_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011137.jpg,Processed_Dataset/segmentation/masks\ISIC_0011137_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000072.jpg,Processed_Dataset/segmentation/masks\ISIC_0000072_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0002836.jpg,Processed_Dataset/segmentation/masks\ISIC_0002836_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000232.jpg,Processed_Dataset/segmentation/masks\ISIC_0000232_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000015.jpg,Processed_Dataset/segmentation/masks\ISIC_0000015_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010317.jpg,Processed_Dataset/segmentation/masks\ISIC_0010317_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010041.jpg,Processed_Dataset/segmentation/masks\ISIC_0010041_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000348.jpg,Processed_Dataset/segmentation/masks\ISIC_0000348_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0007528.jpg,Processed_Dataset/segmentation/masks\ISIC_0007528_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010361.jpg,Processed_Dataset/segmentation/masks\ISIC_0010361_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012108.jpg,Processed_Dataset/segmentation/masks\ISIC_0012108_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010077.jpg,Processed_Dataset/segmentation/masks\ISIC_0010077_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010241.jpg,Processed_Dataset/segmentation/masks\ISIC_0010241_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009958.jpg,Processed_Dataset/segmentation/masks\ISIC_0009958_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012272.jpg,Processed_Dataset/segmentation/masks\ISIC_0012272_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010189.jpg,Processed_Dataset/segmentation/masks\ISIC_0010189_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009165.jpg,Processed_Dataset/segmentation/masks\ISIC_0009165_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011301.jpg,Processed_Dataset/segmentation/masks\ISIC_0011301_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010173.jpg,Processed_Dataset/segmentation/masks\ISIC_0010173_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012232.jpg,Processed_Dataset/segmentation/masks\ISIC_0012232_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0001247.jpg,Processed_Dataset/segmentation/masks\ISIC_0001247_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009919.jpg,Processed_Dataset/segmentation/masks\ISIC_0009919_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011344.jpg,Processed_Dataset/segmentation/masks\ISIC_0011344_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000317.jpg,Processed_Dataset/segmentation/masks\ISIC_0000317_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012228.jpg,Processed_Dataset/segmentation/masks\ISIC_0012228_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000439.jpg,Processed_Dataset/segmentation/masks\ISIC_0000439_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000263.jpg,Processed_Dataset/segmentation/masks\ISIC_0000263_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012179.jpg,Processed_Dataset/segmentation/masks\ISIC_0012179_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0003559.jpg,Processed_Dataset/segmentation/masks\ISIC_0003559_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000003.jpg,Processed_Dataset/segmentation/masks\ISIC_0000003_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000008.jpg,Processed_Dataset/segmentation/masks\ISIC_0000008_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000453.jpg,Processed_Dataset/segmentation/masks\ISIC_0000453_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000361.jpg,Processed_Dataset/segmentation/masks\ISIC_0000361_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011330.jpg,Processed_Dataset/segmentation/masks\ISIC_0011330_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012155.jpg,Processed_Dataset/segmentation/masks\ISIC_0012155_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009430.jpg,Processed_Dataset/segmentation/masks\ISIC_0009430_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010073.jpg,Processed_Dataset/segmentation/masks\ISIC_0010073_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012400.jpg,Processed_Dataset/segmentation/masks\ISIC_0012400_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000236.jpg,Processed_Dataset/segmentation/masks\ISIC_0000236_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0002488.jpg,Processed_Dataset/segmentation/masks\ISIC_0002488_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009891.jpg,Processed_Dataset/segmentation/masks\ISIC_0009891_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000030.jpg,Processed_Dataset/segmentation/masks\ISIC_0000030_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010344.jpg,Processed_Dataset/segmentation/masks\ISIC_0010344_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012323.jpg,Processed_Dataset/segmentation/masks\ISIC_0012323_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010864.jpg,Processed_Dataset/segmentation/masks\ISIC_0010864_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010239.jpg,Processed_Dataset/segmentation/masks\ISIC_0010239_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010463.jpg,Processed_Dataset/segmentation/masks\ISIC_0010463_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006940.jpg,Processed_Dataset/segmentation/masks\ISIC_0006940_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006914.jpg,Processed_Dataset/segmentation/masks\ISIC_0006914_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010322.jpg,Processed_Dataset/segmentation/masks\ISIC_0010322_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010459.jpg,Processed_Dataset/segmentation/masks\ISIC_0010459_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000423.jpg,Processed_Dataset/segmentation/masks\ISIC_0000423_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011363.jpg,Processed_Dataset/segmentation/masks\ISIC_0011363_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010100.jpg,Processed_Dataset/segmentation/masks\ISIC_0010100_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000293.jpg,Processed_Dataset/segmentation/masks\ISIC_0000293_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000028.jpg,Processed_Dataset/segmentation/masks\ISIC_0000028_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000392.jpg,Processed_Dataset/segmentation/masks\ISIC_0000392_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000051.jpg,Processed_Dataset/segmentation/masks\ISIC_0000051_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000117.jpg,Processed_Dataset/segmentation/masks\ISIC_0000117_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012156.jpg,Processed_Dataset/segmentation/masks\ISIC_0012156_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000059.jpg,Processed_Dataset/segmentation/masks\ISIC_0000059_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0008998.jpg,Processed_Dataset/segmentation/masks\ISIC_0008998_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000234.jpg,Processed_Dataset/segmentation/masks\ISIC_0000234_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000133.jpg,Processed_Dataset/segmentation/masks\ISIC_0000133_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009910.jpg,Processed_Dataset/segmentation/masks\ISIC_0009910_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012284.jpg,Processed_Dataset/segmentation/masks\ISIC_0012284_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000078.jpg,Processed_Dataset/segmentation/masks\ISIC_0000078_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0008256.jpg,Processed_Dataset/segmentation/masks\ISIC_0008256_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000049.jpg,Processed_Dataset/segmentation/masks\ISIC_0000049_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010473.jpg,Processed_Dataset/segmentation/masks\ISIC_0010473_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0002459.jpg,Processed_Dataset/segmentation/masks\ISIC_0002459_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011102.jpg,Processed_Dataset/segmentation/masks\ISIC_0011102_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009899.jpg,Processed_Dataset/segmentation/masks\ISIC_0009899_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0008541.jpg,Processed_Dataset/segmentation/masks\ISIC_0008541_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0002829.jpg,Processed_Dataset/segmentation/masks\ISIC_0002829_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0001106.jpg,Processed_Dataset/segmentation/masks\ISIC_0001106_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012222.jpg,Processed_Dataset/segmentation/masks\ISIC_0012222_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011324.jpg,Processed_Dataset/segmentation/masks\ISIC_0011324_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0008145.jpg,Processed_Dataset/segmentation/masks\ISIC_0008145_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000064.jpg,Processed_Dataset/segmentation/masks\ISIC_0000064_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000101.jpg,Processed_Dataset/segmentation/masks\ISIC_0000101_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010596.jpg,Processed_Dataset/segmentation/masks\ISIC_0010596_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000215.jpg,Processed_Dataset/segmentation/masks\ISIC_0000215_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000325.jpg,Processed_Dataset/segmentation/masks\ISIC_0000325_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000433.jpg,Processed_Dataset/segmentation/masks\ISIC_0000433_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0002374.jpg,Processed_Dataset/segmentation/masks\ISIC_0002374_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009160.jpg,Processed_Dataset/segmentation/masks\ISIC_0009160_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0007693.jpg,Processed_Dataset/segmentation/masks\ISIC_0007693_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000203.jpg,Processed_Dataset/segmentation/masks\ISIC_0000203_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000122.jpg,Processed_Dataset/segmentation/masks\ISIC_0000122_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010228.jpg,Processed_Dataset/segmentation/masks\ISIC_0010228_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009956.jpg,Processed_Dataset/segmentation/masks\ISIC_0009956_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000225.jpg,Processed_Dataset/segmentation/masks\ISIC_0000225_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009298.jpg,Processed_Dataset/segmentation/masks\ISIC_0009298_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010569.jpg,Processed_Dataset/segmentation/masks\ISIC_0010569_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0003346.jpg,Processed_Dataset/segmentation/masks\ISIC_0003346_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010558.jpg,Processed_Dataset/segmentation/masks\ISIC_0010558_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009938.jpg,Processed_Dataset/segmentation/masks\ISIC_0009938_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010380.jpg,Processed_Dataset/segmentation/masks\ISIC_0010380_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006982.jpg,Processed_Dataset/segmentation/masks\ISIC_0006982_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000204.jpg,Processed_Dataset/segmentation/masks\ISIC_0000204_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000151.jpg,Processed_Dataset/segmentation/masks\ISIC_0000151_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010018.jpg,Processed_Dataset/segmentation/masks\ISIC_0010018_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000088.jpg,Processed_Dataset/segmentation/masks\ISIC_0000088_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012235.jpg,Processed_Dataset/segmentation/masks\ISIC_0012235_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011372.jpg,Processed_Dataset/segmentation/masks\ISIC_0011372_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0003005.jpg,Processed_Dataset/segmentation/masks\ISIC_0003005_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006350.jpg,Processed_Dataset/segmentation/masks\ISIC_0006350_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0001185.jpg,Processed_Dataset/segmentation/masks\ISIC_0001185_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000184.jpg,Processed_Dataset/segmentation/masks\ISIC_0000184_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000279.jpg,Processed_Dataset/segmentation/masks\ISIC_0000279_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000357.jpg,Processed_Dataset/segmentation/masks\ISIC_0000357_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010379.jpg,Processed_Dataset/segmentation/masks\ISIC_0010379_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0006776.jpg,Processed_Dataset/segmentation/masks\ISIC_0006776_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000390.jpg,Processed_Dataset/segmentation/masks\ISIC_0000390_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000107.jpg,Processed_Dataset/segmentation/masks\ISIC_0000107_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0007241.jpg,Processed_Dataset/segmentation/masks\ISIC_0007241_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010015.jpg,Processed_Dataset/segmentation/masks\ISIC_0010015_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010565.jpg,Processed_Dataset/segmentation/masks\ISIC_0010565_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010461.jpg,Processed_Dataset/segmentation/masks\ISIC_0010461_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010185.jpg,Processed_Dataset/segmentation/masks\ISIC_0010185_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012095.jpg,Processed_Dataset/segmentation/masks\ISIC_0012095_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009921.jpg,Processed_Dataset/segmentation/masks\ISIC_0009921_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012137.jpg,Processed_Dataset/segmentation/masks\ISIC_0012137_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000351.jpg,Processed_Dataset/segmentation/masks\ISIC_0000351_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011168.jpg,Processed_Dataset/segmentation/masks\ISIC_0011168_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000480.jpg,Processed_Dataset/segmentation/masks\ISIC_0000480_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000261.jpg,Processed_Dataset/segmentation/masks\ISIC_0000261_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010573.jpg,Processed_Dataset/segmentation/masks\ISIC_0010573_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010598.jpg,Processed_Dataset/segmentation/masks\ISIC_0010598_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000354.jpg,Processed_Dataset/segmentation/masks\ISIC_0000354_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010447.jpg,Processed_Dataset/segmentation/masks\ISIC_0010447_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011155.jpg,Processed_Dataset/segmentation/masks\ISIC_0011155_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000281.jpg,Processed_Dataset/segmentation/masks\ISIC_0000281_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010365.jpg,Processed_Dataset/segmentation/masks\ISIC_0010365_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010340.jpg,Processed_Dataset/segmentation/masks\ISIC_0010340_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000077.jpg,Processed_Dataset/segmentation/masks\ISIC_0000077_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000103.jpg,Processed_Dataset/segmentation/masks\ISIC_0000103_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010848.jpg,Processed_Dataset/segmentation/masks\ISIC_0010848_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000037.jpg,Processed_Dataset/segmentation/masks\ISIC_0000037_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010443.jpg,Processed_Dataset/segmentation/masks\ISIC_0010443_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000545.jpg,Processed_Dataset/segmentation/masks\ISIC_0000545_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000542.jpg,Processed_Dataset/segmentation/masks\ISIC_0000542_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010597.jpg,Processed_Dataset/segmentation/masks\ISIC_0010597_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011118.jpg,Processed_Dataset/segmentation/masks\ISIC_0011118_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010174.jpg,Processed_Dataset/segmentation/masks\ISIC_0010174_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000085.jpg,Processed_Dataset/segmentation/masks\ISIC_0000085_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000093.jpg,Processed_Dataset/segmentation/masks\ISIC_0000093_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012089.jpg,Processed_Dataset/segmentation/masks\ISIC_0012089_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000091.jpg,Processed_Dataset/segmentation/masks\ISIC_0000091_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000556.jpg,Processed_Dataset/segmentation/masks\ISIC_0000556_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010036.jpg,Processed_Dataset/segmentation/masks\ISIC_0010036_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0010333.jpg,Processed_Dataset/segmentation/masks\ISIC_0010333_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000533.jpg,Processed_Dataset/segmentation/masks\ISIC_0000533_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0012282.jpg,Processed_Dataset/segmentation/masks\ISIC_0012282_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011128.jpg,Processed_Dataset/segmentation/masks\ISIC_0011128_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0000496.jpg,Processed_Dataset/segmentation/masks\ISIC_0000496_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0011358.jpg,Processed_Dataset/segmentation/masks\ISIC_0011358_segmentation.png
Processed_Dataset/segmentation/images\ISIC_0009974.jpg,Processed_Dataset/segmentation/masks\ISIC_0009974_segmentation.png
